"","sub","item","cond","seq","start","end","duration_ms","correctresp","subresp","accuracy","task","sound"
"110",2,155,1,38,5726065,5729041,2976,3,3,1,"reading","silence"
"111",2,151,1,39,5740032,5743008,2976,3,3,1,"reading","silence"
"112",2,156,1,40,5750733,5753824,3091,4,4,1,"reading","silence"
"113",2,160,1,41,5760129,5762608,2479,4,4,1,"reading","silence"
"114",2,161,1,42,5770402,5773293,2891,1,1,1,"reading","silence"
"115",2,152,1,43,5790685,5794942,4257,4,4,1,"reading","silence"
"116",2,154,1,44,5819053,5821510,2457,2,2,1,"reading","silence"
"117",2,162,1,45,5876653,5879595,2942,2,2,1,"reading","silence"
"118",2,157,1,46,5938506,5942397,3891,1,1,1,"reading","silence"
"119",2,159,1,47,5966692,5971066,4374,3,3,1,"reading","silence"
"120",2,153,1,48,5996630,5999750,3120,1,1,1,"reading","silence"
"121",2,91,2,49,6008330,6011433,3103,3,3,1,"reading","standard"
"122",2,92,2,50,6019646,6022534,2888,4,4,1,"reading","standard"
"123",2,93,2,51,6031300,6033700,2400,1,1,1,"reading","standard"
"124",2,126,3,52,6042213,6044701,2488,2,2,1,"reading","novel"
"125",2,128,3,53,6130433,6135507,5074,4,4,1,"reading","novel"
"126",2,98,2,54,6206460,6209193,2733,2,2,1,"reading","standard"
"127",2,99,2,55,6217159,6220009,2850,3,3,1,"reading","standard"
"128",2,122,3,56,6258388,6262861,4473,2,2,1,"reading","novel"
"129",2,123,3,57,6273810,6276495,2685,3,3,1,"reading","novel"
"130",2,131,3,58,6305692,6308946,3254,3,3,1,"reading","novel"
"131",2,130,3,59,6316908,6319696,2788,2,2,1,"reading","novel"
"132",2,124,3,60,6358178,6361781,3603,4,4,1,"reading","novel"
"133",2,96,2,61,6390708,6393716,3008,4,4,1,"reading","standard"
"134",2,94,2,62,6400779,6403332,2553,2,2,1,"reading","standard"
"135",2,102,2,63,6409679,6412349,2670,2,2,1,"reading","standard"
"136",2,125,3,64,6440644,6443834,3190,1,1,1,"reading","novel"
"137",2,95,2,65,6452277,6456184,3907,3,3,1,"reading","standard"
"138",2,121,3,66,6470709,6474035,3326,1,3,0,"reading","novel"
"139",2,132,3,67,6504718,6507202,2484,4,4,1,"reading","novel"
"140",2,129,3,68,6520064,6523003,2939,1,1,1,"reading","novel"
"141",2,97,2,69,6529483,6531677,2194,1,1,1,"reading","standard"
"142",2,101,2,70,6539602,6542322,2720,1,1,1,"reading","standard"
"143",2,127,3,71,6553534,6557137,3603,3,3,1,"reading","novel"
"144",2,100,2,72,6589532,6592856,3324,4,4,1,"reading","standard"
"145",3,61,2,1,1652809,1655998,3189,1,1,1,"reading","standard"
"146",3,62,2,2,1662010,1665266,3256,2,2,1,"reading","standard"
"147",3,63,2,3,1671241,1676449,5208,3,3,1,"reading","standard"
"148",3,11,3,4,1682674,1686415,3741,3,3,1,"reading","novel"
"149",3,68,2,5,1701141,1704618,3477,4,4,1,"reading","standard"
"150",3,5,3,6,1709996,1713200,3204,1,1,1,"reading","novel"
"151",3,65,2,7,1726378,1731200,4822,1,1,1,"reading","standard"
"152",3,2,3,8,1786082,1790152,4070,2,2,1,"reading","novel"
"153",3,71,2,9,1802703,1806220,3517,3,3,1,"reading","standard"
"154",3,6,3,10,1812148,1815553,3405,2,2,1,"reading","novel"
"155",3,4,3,11,1848568,1852587,4019,4,4,1,"reading","novel"
"156",3,66,2,12,1857738,1861172,3434,2,2,1,"reading","standard"
"157",3,9,3,13,1879208,1883923,4715,1,1,1,"reading","novel"
"158",3,8,3,14,1896138,1901390,5252,4,4,1,"reading","novel"
"159",3,12,3,15,1946828,1950442,3614,4,4,1,"reading","novel"
"160",3,69,2,16,2034417,2038728,4311,1,1,1,"reading","standard"
"161",3,3,3,17,2044034,2047513,3479,3,3,1,"reading","novel"
"162",3,70,2,18,2064052,2068462,4410,2,2,1,"reading","standard"
"163",3,10,3,19,2073873,2077814,3941,2,2,1,"reading","novel"
"164",3,67,2,20,2089435,2094430,4995,3,3,1,"reading","standard"
"165",3,64,2,21,2106134,2110382,4248,4,4,1,"reading","standard"
"166",3,7,3,22,2116749,2121781,5032,3,3,1,"reading","novel"
"167",3,72,2,23,2127239,2130715,3476,4,4,1,"reading","standard"
"168",3,1,3,24,2136940,2139749,2809,1,1,1,"reading","novel"
"169",3,42,1,25,2188473,2192234,3761,4,4,1,"reading","silence"
"170",3,36,1,26,2197424,2201084,3660,2,2,1,"reading","silence"
"171",3,37,1,27,2206438,2211318,4880,3,3,1,"reading","silence"
"172",3,38,1,28,2217558,2220535,2977,4,4,1,"reading","silence"
"173",3,39,1,29,2237342,2243052,5710,1,1,1,"reading","silence"
"174",3,35,1,30,2248057,2251752,3695,1,1,1,"reading","silence"
"175",3,41,1,31,2284497,2288005,3508,3,3,1,"reading","silence"
"176",3,40,1,32,2294178,2298655,4477,2,2,1,"reading","silence"
"177",3,33,1,33,2305177,2309388,4211,3,3,1,"reading","silence"
"178",3,32,1,34,2314695,2317921,3226,2,2,1,"reading","silence"
"179",3,34,1,35,2347498,2351755,4257,4,4,1,"reading","silence"
"180",3,31,1,36,2357409,2363657,6248,1,1,1,"reading","silence"
"181",3,151,2,37,2536019,2537995,1976,3,3,1,"zString","standard"
"182",3,152,2,38,2544018,2546263,2245,4,4,1,"zString","standard"
"183",3,153,2,39,2551118,2553064,1946,1,1,1,"zString","standard"
"184",3,91,3,40,2564384,2566896,2512,3,3,1,"zString","novel"
"185",3,159,2,41,2577336,2579680,2344,3,3,1,"zString","standard"
"186",3,102,3,42,2583560,2585531,1971,2,2,1,"zString","novel"
"187",3,161,2,43,2590718,2593297,2579,1,1,1,"zString","standard"
"188",3,158,2,44,2622421,2624699,2278,2,2,1,"zString","standard"
"189",3,101,3,45,2635423,2637432,2009,1,1,1,"zString","novel"
