"","task","cond","sub","fix_dur_M","fix_dur_SD"
"227","zString",2,11,205,55.1601433886995
"228","zString",2,12,223,67.860736330502
"229","zString",2,13,233,72.5805146714083
"230","zString",2,14,208,66.4089405426416
"231","zString",2,15,234,96.5605946898162
"232","zString",2,16,220,63.4069471418021
"233","zString",2,17,243,77.4273765711294
"234","zString",2,18,224,72.8526248086172
"235","zString",2,19,171,49.2315944817206
"236","zString",2,20,202,56.3550405438539
"237","zString",2,21,225,59.1333734012321
"238","zString",2,22,241,71.9120057438467
"239","zString",2,23,248,70.571717132063
"240","zString",2,24,247,73.9534116814149
"241","zString",2,25,205,95.1871760127488
"242","zString",2,26,299,136.464842378245
"243","zString",2,27,234,95.7677535026491
"244","zString",2,28,285,70.5721018089891
"245","zString",2,29,251,85.0744513354756
"246","zString",2,30,195,51.4320500745351
"247","zString",2,31,229,70.1251066433803
"248","zString",2,32,237,74.0007443677396
"249","zString",2,33,239,89.5797523123848
"250","zString",2,34,193,54.4938730765862
"251","zString",2,35,178,58.0704525460645
"252","zString",2,36,334,120.065313513499
"253","zString",2,37,220,64.7158060424169
"254","zString",2,38,211,67.3328455441875
"255","zString",2,39,214,76.3228687193059
"256","zString",2,40,233,87.1032984485632
"257","zString",2,41,198,58.8105772183409
"258","zString",2,42,228,87.7038207501636
"259","zString",2,43,263,118.027024911536
"260","zString",2,44,215,90.2341389842934
"261","zString",2,45,211,102.166490350407
"262","zString",2,46,255,91.401638705019
"263","zString",2,47,224,65.8789162897711
"264","zString",2,48,228,71.4732388345958
"265","zString",2,49,199,45.7388442588523
"266","zString",2,50,200,62.6340829522922
"267","zString",2,51,274,112.557345026106
"268","zString",2,52,193,74.3025949223356
"269","zString",2,53,230,72.1604912507184
"270","zString",2,54,213,85.6754163511068
"271","zString",3,1,212,56.1830697721804
"272","zString",3,2,304,110.517765378715
"273","zString",3,3,238,70.502189740126
"274","zString",3,4,214,69.3489434646036
"275","zString",3,5,252,88.6805767063867
"276","zString",3,6,186,51.8362976754456
"277","zString",3,7,241,79.1142933790817
"278","zString",3,8,244,95.1810684888236
"279","zString",3,9,217,80.7774420992815
"280","zString",3,10,197,50.9076647968035
"281","zString",3,11,206,59.6548662984318
"282","zString",3,12,220,67.3561706176328
"283","zString",3,13,231,67.2514757834203
"284","zString",3,14,209,63.6564372044753
"285","zString",3,15,234,98.3954120632889
"286","zString",3,16,232,84.1584459089991
"287","zString",3,17,249,84.4772112398307
"288","zString",3,18,223,68.7793820527836
"289","zString",3,19,166,48.1552305574624
"290","zString",3,20,199,58.3381968077353
"291","zString",3,21,240,76.0505787492822
"292","zString",3,22,243,70.6501149621371
"293","zString",3,23,247,75.8656309846323
"294","zString",3,24,240,64.9982857414045
"295","zString",3,25,209,93.5431106881901
"296","zString",3,26,313,133.098020332692
"297","zString",3,27,246,113.078185188838
"298","zString",3,28,277,71.9366078894879
"299","zString",3,29,245,79.1184927303501
"300","zString",3,30,198,68.5010143314327
"301","zString",3,31,225,66.1195144658572
"302","zString",3,32,238,78.7362374485927
"303","zString",3,33,249,75.7677003485413
"304","zString",3,34,194,53.8693460111993
"305","zString",3,35,183,52.8850466483386
"306","zString",3,36,333,123.809526316647
"307","zString",3,37,220,62.051486278452
"308","zString",3,38,215,67.3395599852526
"309","zString",3,39,218,77.5849369250015
"310","zString",3,40,222,75.4109017218114
"311","zString",3,41,195,58.4491552650546
"312","zString",3,42,231,94.9555097262367
"313","zString",3,43,254,104.445447897743
"314","zString",3,44,210,72.0195859076727
"315","zString",3,45,221,126.393172411724
"316","zString",3,46,256,96.6995740760169
"317","zString",3,47,231,82.3431585266413
"318","zString",3,48,240,92.8312260358908
"319","zString",3,49,206,50.6160047553467
"320","zString",3,50,200,64.3135888304082
"321","zString",3,51,281,125.161017913422
"322","zString",3,52,194,72.0632368708432
"323","zString",3,53,228,67.491538467584
"324","zString",3,54,210,67.7520670786542
