"","task","cond","sub","FFD_M","FFD_SD","freq_M","freq_SD","zipf_M","zipf_SD"
"47","reading",1,47,217,52.2712407418807,64100,115538.709637668,4.8,0.919513103672855
"48","reading",1,48,197,22.830878473193,33200,75112.4088228171,4.48,0.869307115845763
"49","reading",1,49,280,101.524204114901,38200,94638.2739285744,4.36,0.913549968514884
"50","reading",1,50,182,49.6341228777759,79400,305663.627012241,4.55,0.868754014932615
"51","reading",1,51,263,74.4086528506438,58900,104037.903054356,4.9,0.754171573254231
"52","reading",1,52,186,47.7569190815122,62300,134340.174598804,4.66,0.958501382985842
"53","reading",1,53,268,85.8894022449185,43400,90627.166378748,4.76,0.719410031658437
"54","reading",1,54,231,81.5958974225449,236000,743106.957050973,4.71,0.996210199659069
"55","reading",2,1,222,58.846454975282,52100,104009.977063994,4.84,0.760356391506814
"56","reading",2,2,269,52.0581939329012,43400,103058.905296209,4.75,0.741556391890017
"57","reading",2,3,251,69.6915434746861,22200,26274.6450882689,4.68,0.677723036713932
"58","reading",2,4,246,59.4788642638513,16800,20281.9081734045,4.63,0.593645888705102
"59","reading",2,5,222,72.6120808523918,68300,151286.406499174,4.78,0.837410407432455
"60","reading",2,6,167,31.111473920787,64200,112436.457520851,4.85,0.839627468413394
"61","reading",2,7,295,97.4839180876225,46400,98859.430762525,4.84,0.657360522957423
"62","reading",2,8,272,108.574825107199,79900,129463.700685695,4.96,0.95123642449925
"63","reading",2,9,204,70.2406577417951,80900,141161.447246682,5.22,0.591312100332811
"64","reading",2,10,212,53.0003972179752,10700,16361.6182228731,4.34,0.642699897226331
"65","reading",2,11,216,76.3370658268159,80700,158480.415291787,4.86,1.06402492810039
"66","reading",2,12,225,55.0607077548186,20200,36502.4359145861,4.36,0.879596410948707
"67","reading",2,13,255,76.848364020528,34100,83933.5926705092,4.63,0.731280599899569
"68","reading",2,14,200,40.8784264818741,88500,129753.309820857,5,0.826062397744456
"69","reading",2,15,168,38.6485464788462,47400,81177.7941615041,4.82,0.805657531443115
"70","reading",2,16,208,50.6364685582629,28500,77463.6131540122,4.22,0.857181149938287
"71","reading",2,17,232,67.2837232561091,49600,109925.397148455,4.45,0.956556629162812
"72","reading",2,18,194,49.6782630992812,24100,38411.1760631662,4.6,0.667668545424829
"73","reading",2,19,212,67.3054837181053,56000,96666.7603712189,4.89,0.744545533831244
"74","reading",2,20,246,81.0266362961815,75200,148117.320127768,4.69,1.0189358484016
