"","task","cond","sub","Nfix_1st_M","Nfix_1st_SD","Nfix_2nd_M","Nfix_2nd_SD","Nfix_all_M","Nfix_all_SD"
"304","zString",3,34,11.3,2.05359231088119,1.57,2.12835266285249,12.9,2.55603860169078
"305","zString",3,35,10.4,2.28463131158729,2.37,2.7099221687937,12.8,3.07828882156394
"306","zString",3,36,17.7,3.41548199254209,5.87,4.71046767817448,23.6,6.39333345318998
"307","zString",3,37,11.6,1.86959950225993,1.9,1.70900253223113,13.5,2.11290506556541
"308","zString",3,38,9.53,1.97804036312734,3.4,3.78381307404453,12.9,3.78684959894864
"309","zString",3,39,13.2,4.13632631719245,6.07,3.64770436390297,19.2,3.5591875606596
"310","zString",3,40,12,2.53911922460951,4,3.35281662342945,16,3.52804853095612
"311","zString",3,41,12.6,2.44502779524901,2.37,2.12510986869456,14.9,3.05053226936494
"312","zString",3,42,12.6,2.1922014338187,10.9,5.21888700866338,23.5,5.76403833531965
"313","zString",3,43,13.6,3.27582577112377,3.87,4.02349422108774,17.5,3.67407819387566
"314","zString",3,44,7.63,1.54212869746342,2.57,2.43088366696122,10.2,2.32527343590472
"315","zString",3,45,10.2,2.0956989342433,3.53,2.78831717056689,13.8,3.21294078777483
"316","zString",3,46,3.4,2.11072793457449,7.37,3.78274971446683,10.8,4.26439415055226
"317","zString",3,47,11.7,2.86657310726769,3.43,2.83674574764493,15.1,3.31904985711619
"318","zString",3,48,8.77,1.97716853158724,0.967,2.5661366821088,9.73,2.93531803285828
"319","zString",3,49,7.57,1.88795334054948,0.833,1.64176804051321,8.4,2.01031821121553
"320","zString",3,50,13.1,2.25806345675064,2.47,2.80065673743134,15.5,2.71310146146986
"321","zString",3,51,9.87,1.96053007141424,1.7,1.68461599021343,11.6,2.59553108422831
"322","zString",3,52,7.77,2.25424248815479,1.5,1.79558846371725,9.27,2.37709375344004
"323","zString",3,53,6.7,1.3683617186634,1.53,1.52526613468247,8.23,2.31462119241309
"324","zString",3,54,6.33,1.60459111417151,2.27,2.6252531350307,8.6,2.25296739190018
