"","task","cond","sub","N1_M","N1_SD"
"219","zString",2,3,216,44.4840466836902
"220","zString",2,4,224,42.0068916651592
"221","zString",2,5,244,86.5723352507557
"222","zString",2,6,204,73.1203716113967
"223","zString",2,7,261,77.654128263497
"224","zString",2,8,232,75.8269646723946
"225","zString",2,9,239,59.3438385720926
"226","zString",2,10,196,29.6628396815108
"227","zString",2,11,193,38.1852823673426
"228","zString",2,12,210,36.7682643479114
"229","zString",2,13,250,92.151261404036
"230","zString",2,14,203,35.9766005825131
"231","zString",2,15,226,71.4261038534814
"232","zString",2,16,226,39.9041248655643
"233","zString",2,17,259,66.5343383661263
"234","zString",2,18,217,53.6080528776539
"235","zString",2,19,171,38.2461250569433
"236","zString",2,20,206,38.0849253440458
"237","zString",2,21,241,45.137672999497
"238","zString",2,22,254,55.9707395360337
"239","zString",2,23,253,50.1365723731496
"240","zString",2,24,275,77.8411691783186
"241","zString",2,25,172,26.631471872911
"242","zString",2,26,285,89.9310590653495
"243","zString",2,27,238,66.4386341315289
"244","zString",2,28,280,33.6014880622868
"245","zString",2,29,276,130.48182454253
"246","zString",2,30,198,45.0959091896485
"247","zString",2,31,270,115.155937753986
"248","zString",2,32,237,65.3072226735553
"249","zString",2,33,248,62.267757982848
"250","zString",2,34,194,64.1436551556896
"251","zString",2,35,160,43.6911632818096
"252","zString",2,36,343,83.3718543446534
"253","zString",2,37,238,56.6344123891708
"254","zString",2,38,235,65.5091340220294
"255","zString",2,39,235,85.1601645324174
"256","zString",2,40,229,75.9128027620401
"257","zString",2,41,210,54.5573998777702
"258","zString",2,42,217,104.952814794713
"259","zString",2,43,282,106.274860689124
"260","zString",2,44,227,40.8688378200544
"261","zString",2,45,229,83.8420258230778
"262","zString",2,46,223,38.057339779747
"263","zString",2,47,232,60.7401177539351
"264","zString",2,48,242,107.615955351211
"265","zString",2,49,215,31.6901357820119
"266","zString",2,50,184,37.4856690565259
"267","zString",2,51,269,67.6501952180737
"268","zString",2,52,178,43.6924411284687
"269","zString",2,53,247,58.4856659578195
"270","zString",2,54,197,53.404174443139
"271","zString",3,1,231,48.8150825124956
"272","zString",3,2,296,58.2340921296624
"273","zString",3,3,250,58.9805346127302
"274","zString",3,4,235,48.6066309793571
"275","zString",3,5,256,67.8834049430836
"276","zString",3,6,214,57.0360509775275
"277","zString",3,7,258,65.2115969820735
"278","zString",3,8,235,60.9592424474426
"279","zString",3,9,242,46.8535106687674
"280","zString",3,10,224,45.5660307454439
"281","zString",3,11,213,52.1224867325841
"282","zString",3,12,230,40.2305025239971
"283","zString",3,13,264,60.6830086287083
"284","zString",3,14,244,61.7484230861258
"285","zString",3,15,231,74.9833183029093
"286","zString",3,16,229,43.4140947818908
"287","zString",3,17,282,76.8248196226513
"288","zString",3,18,257,57.8959820440253
"289","zString",3,19,164,48.2431069524036
"290","zString",3,20,247,81.1954138981706
"291","zString",3,21,256,24.0179331148855
"292","zString",3,22,256,55.1815022304195
"293","zString",3,23,286,80.0977247032992
"294","zString",3,24,242,70.1653890332108
"295","zString",3,25,211,98.6279203200933
"296","zString",3,26,304,64.5791012438259
"297","zString",3,27,253,65.1219035259303
"298","zString",3,28,292,49.3591692211984
"299","zString",3,29,251,73.2868999001165
"300","zString",3,30,248,46.8675946531442
"301","zString",3,31,223,45.468251613207
"302","zString",3,32,256,61.7783409116585
"303","zString",3,33,265,68.8236035513769
